# WAVE RELTPT CHARGE
5.140000000000000000e+02 8.540117470578273418e-01 2.346970000000000164e-06
5.170000000000000000e+02 8.539373269296569591e-01 3.525499999999999957e-06
5.200000000000000000e+02 8.604373531364978289e-01 2.221280000000000102e-06
5.230000000000000000e+02 8.632310924486218395e-01 2.864209999999999890e-06
5.260000000000000000e+02 8.648217178718061726e-01 2.747230000000000123e-06
5.290000000000000000e+02 8.704271011774190603e-01 2.257630000000000186e-06
5.320000000000000000e+02 8.783509904806566793e-01 2.237549999999999863e-06
5.350000000000000000e+02 8.799817648071872611e-01 3.345039999999999995e-06
5.380000000000000000e+02 8.852263636925705725e-01 3.160309999999999901e-06
5.410000000000000000e+02 8.843603535752933009e-01 2.766089999999999803e-06
5.440000000000000000e+02 8.886255263784742509e-01 4.713650000000000178e-06
5.470000000000000000e+02 8.905315571661956975e-01 1.880280000000000105e-06
5.500000000000000000e+02 8.953322355263619858e-01 4.264680000000000307e-06
5.530000000000000000e+02 9.057170330863776320e-01 2.769409999999999968e-06
5.560000000000000000e+02 9.020706482884516264e-01 4.461089999999999668e-06
5.590000000000000000e+02 9.087895915614170317e-01 3.779249999999999857e-06
5.620000000000000000e+02 9.112098599202874682e-01 2.198480000000000083e-06
5.650000000000000000e+02 9.161236517613881025e-01 2.478649999999999977e-06
5.680000000000000000e+02 9.167759655520492101e-01 4.305740000000000385e-06
5.710000000000000000e+02 9.191379925385865235e-01 3.038179999999999853e-06
5.740000000000000000e+02 9.228393880101238844e-01 3.481619999999999964e-06
5.770000000000000000e+02 9.261206959313558196e-01 3.625480000000000142e-06
5.800000000000000000e+02 9.297472391191524688e-01 2.281749999999999795e-06
5.830000000000000000e+02 9.292707696594243449e-01 3.272759999999999985e-06
5.860000000000000000e+02 9.359929079747503211e-01 3.379099999999999970e-06
5.890000000000000000e+02 9.406996613660608686e-01 2.946189999999999993e-06
5.920000000000000000e+02 9.431203729123788237e-01 3.195229999999999899e-06
5.950000000000000000e+02 9.475027489142247017e-01 2.420879999999999851e-06
5.980000000000000000e+02 9.531566784222520461e-01 2.911170000000000200e-06
6.010000000000000000e+02 9.563322810686742947e-01 3.241859999999999993e-06
6.040000000000000000e+02 9.533247808330520545e-01 2.831170000000000119e-06
6.070000000000000000e+02 9.587153267419206149e-01 2.743219999999999970e-06
6.100000000000000000e+02 9.610340785378960193e-01 3.745320000000000082e-06
6.130000000000000000e+02 9.632884388671214548e-01 2.111350000000000122e-06
6.160000000000000000e+02 9.629110074479136916e-01 2.248149999999999812e-06
6.190000000000000000e+02 9.670916367315282036e-01 2.752740000000000177e-06
